# Region type : patch cOutlet
# Faces  :     1744
# Area   :     4.2541269e-05
# Time         	average(U)	average(p)	average(T)
0.088          	(-1.3652793e-01 -1.1851047e+01 1.9327419e-02)	1.0549263e+05	2.9081410e+02
0.0880001      	(-1.3198589e-01 -1.1845436e+01 1.7277301e-02)	1.0548851e+05	2.9081148e+02
0.0880005      	(-1.1718058e-01 -1.1836279e+01 1.2143375e-02)	1.0548022e+05	2.9080662e+02
0.0880009      	(-1.0259106e-01 -1.1837802e+01 9.0980751e-03)	1.0547806e+05	2.9080668e+02
0.0880013      	(-8.8806335e-02 -1.1847661e+01 8.2235703e-03)	1.0548095e+05	2.9080998e+02
0.0880016      	(-7.5769464e-02 -1.1863909e+01 9.4424120e-03)	1.0548785e+05	2.9081620e+02
0.088002       	(-6.3330703e-02 -1.1884885e+01 1.2713832e-02)	1.0549779e+05	2.9082454e+02
0.0880024      	(-5.1442075e-02 -1.1908674e+01 1.7884466e-02)	1.0550983e+05	2.9083425e+02
0.0880028      	(-4.0078531e-02 -1.1933438e+01 2.4792762e-02)	1.0552298e+05	2.9084371e+02
0.0880032      	(-2.8944368e-02 -1.1957641e+01 3.3348305e-02)	1.0553623e+05	2.9085369e+02
0.0880035      	(-1.7926891e-02 -1.1979709e+01 4.3415053e-02)	1.0554877e+05	2.9086292e+02
0.0880039      	(-7.0167312e-03 -1.1998313e+01 5.4559478e-02)	1.0555980e+05	2.9087078e+02
0.0880043      	(3.9313949e-03 -1.2012348e+01 6.6347989e-02)	1.0556864e+05	2.9087682e+02
0.0880047      	(1.5125842e-02 -1.2021032e+01 7.8415878e-02)	1.0557478e+05	2.9088072e+02
0.0880051      	(2.6704207e-02 -1.2024003e+01 9.0368335e-02)	1.0557800e+05	2.9088248e+02
0.0880055      	(3.8743055e-02 -1.2021726e+01 1.0187163e-01)	1.0557855e+05	2.9088240e+02
0.0880058      	(5.1275700e-02 -1.2015519e+01 1.1276971e-01)	1.0557712e+05	2.9088101e+02
0.0880062      	(6.4135993e-02 -1.2006921e+01 1.2287920e-01)	1.0557447e+05	2.9087886e+02
0.0880066      	(7.6949182e-02 -1.1996985e+01 1.3179393e-01)	1.0557107e+05	2.9087624e+02
0.088007       	(8.9352364e-02 -1.1985977e+01 1.3913192e-01)	1.0556696e+05	2.9087312e+02
0.0880074      	(1.0109635e-01 -1.1973945e+01 1.4493033e-01)	1.0556213e+05	2.9086949e+02
0.0880077      	(1.1200456e-01 -1.1960812e+01 1.4924314e-01)	1.0555657e+05	2.9086543e+02
