# Region type : patch cOutlet
# Faces  :     1744
# Area   :     4.2541269e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
5.1074e-07     	(-4.5820652e-08 -6.2256782e-04 -4.8671648e-08)	1.0000094e+05	2.9399998e+02
9.44866e-07    	(-9.0459254e-08 -4.4342094e-04 -3.1912635e-08)	1.0000090e+05	2.9399990e+02
1.37899e-06    	(-9.1149442e-08 -3.6034606e-04 -4.3652799e-08)	1.0000088e+05	2.9399990e+02
1.81312e-06    	(-1.1809238e-07 -3.4576780e-04 -4.5199623e-08)	1.0000089e+05	2.9399991e+02
2.24725e-06    	(-1.6878722e-07 -3.2675134e-04 -3.2903321e-08)	1.0000090e+05	2.9399991e+02
2.68137e-06    	(-2.0736278e-07 -3.0491730e-04 -4.6645800e-09)	1.0000090e+05	2.9399991e+02
3.1155e-06     	(-2.1386003e-07 -2.8849354e-04 9.6432104e-09)	1.0000090e+05	2.9399992e+02
3.54962e-06    	(-2.2726118e-07 -2.7667905e-04 6.8298784e-09)	1.0000090e+05	2.9399992e+02
3.98375e-06    	(-2.4481212e-07 -2.6785031e-04 2.3003051e-09)	1.0000090e+05	2.9399992e+02
4.41788e-06    	(-2.7306166e-07 -2.6128083e-04 -4.2987717e-11)	1.0000091e+05	2.9399993e+02
4.852e-06      	(-3.0588895e-07 -2.5537965e-04 2.4466496e-10)	1.0000091e+05	2.9399993e+02
5.28613e-06    	(-3.3096728e-07 -2.4938296e-04 2.3585443e-09)	1.0000091e+05	2.9399993e+02
5.72026e-06    	(-3.5404707e-07 -2.4351443e-04 6.3474609e-09)	1.0000091e+05	2.9399993e+02
6.15438e-06    	(-3.7657277e-07 -2.3790261e-04 1.5936873e-08)	1.0000091e+05	2.9399993e+02
6.58851e-06    	(-3.9475075e-07 -2.3236206e-04 2.8338987e-08)	1.0000092e+05	2.9399994e+02
7.02264e-06    	(-4.1643393e-07 -2.2683904e-04 4.1336733e-08)	1.0000092e+05	2.9399994e+02
7.45676e-06    	(-4.3342087e-07 -2.2139632e-04 5.0721816e-08)	1.0000092e+05	2.9399994e+02
7.89089e-06    	(-4.5057771e-07 -2.1605636e-04 5.2921559e-08)	1.0000092e+05	2.9399994e+02
8.32502e-06    	(-4.6699146e-07 -2.1091836e-04 5.6561825e-08)	1.0000092e+05	2.9399994e+02
8.75914e-06    	(-4.7804099e-07 -2.0596895e-04 6.3151058e-08)	1.0000092e+05	2.9399994e+02
9.19327e-06    	(-4.8505066e-07 -2.0109232e-04 6.9237179e-08)	1.0000092e+05	2.9399994e+02
9.62739e-06    	(-4.9032380e-07 -1.9629084e-04 7.5303695e-08)	1.0000092e+05	2.9399994e+02
1.00615e-05    	(-4.9343148e-07 -1.9164182e-04 8.0620783e-08)	1.0000092e+05	2.9399994e+02
1.04956e-05    	(-4.9389670e-07 -1.8712731e-04 8.4579232e-08)	1.0000092e+05	2.9399994e+02
1.09298e-05    	(-4.9537387e-07 -1.8270229e-04 8.7960745e-08)	1.0000092e+05	2.9399994e+02
1.13639e-05    	(-4.9681002e-07 -1.7837206e-04 9.0576515e-08)	1.0000092e+05	2.9399994e+02
1.1798e-05     	(-4.9672887e-07 -1.7415065e-04 9.1966698e-08)	1.0000092e+05	2.9399994e+02
1.22322e-05    	(-4.9531476e-07 -1.7004652e-04 9.2680144e-08)	1.0000092e+05	2.9399994e+02
1.26663e-05    	(-4.9516083e-07 -1.6604064e-04 9.2919911e-08)	1.0000092e+05	2.9399994e+02
1.31004e-05    	(-4.9683840e-07 -1.6210875e-04 9.3196949e-08)	1.0000092e+05	2.9399994e+02
1.35345e-05    	(-5.0061978e-07 -1.5824969e-04 9.3605402e-08)	1.0000092e+05	2.9399994e+02
1.39687e-05    	(-5.0547539e-07 -1.5446948e-04 9.3631262e-08)	1.0000092e+05	2.9399993e+02
1.44028e-05    	(-5.1137123e-07 -1.5075593e-04 9.3488485e-08)	1.0000092e+05	2.9399993e+02
1.48369e-05    	(-5.1863808e-07 -1.4710762e-04 9.3225238e-08)	1.0000091e+05	2.9399993e+02
1.5271e-05     	(-5.2655445e-07 -1.4355766e-04 9.2739636e-08)	1.0000091e+05	2.9399993e+02
1.57052e-05    	(-5.3364681e-07 -1.4012784e-04 9.2757489e-08)	1.0000091e+05	2.9399993e+02
1.61393e-05    	(-5.3949337e-07 -1.3681317e-04 9.2986033e-08)	1.0000091e+05	2.9399993e+02
1.65734e-05    	(-5.4428809e-07 -1.3361541e-04 9.2512116e-08)	1.0000091e+05	2.9399993e+02
1.70075e-05    	(-5.4859959e-07 -1.3054767e-04 9.1304790e-08)	1.0000091e+05	2.9399993e+02
1.74417e-05    	(-5.5209321e-07 -1.2762055e-04 9.0163872e-08)	1.0000091e+05	2.9399993e+02
1.78758e-05    	(-5.5498885e-07 -1.2483200e-04 8.9102744e-08)	1.0000091e+05	2.9399993e+02
1.83099e-05    	(-5.5691715e-07 -1.2218161e-04 8.7956349e-08)	1.0000091e+05	2.9399993e+02
1.8744e-05     	(-5.5641363e-07 -1.1968380e-04 8.6321737e-08)	1.0000091e+05	2.9399992e+02
1.91782e-05    	(-5.5436622e-07 -1.1736025e-04 8.4241646e-08)	1.0000090e+05	2.9399992e+02
